"","child","child_t1","child_t2"
"1",1,NA,1
"2",1,1,NA
"3",1,NA,NA
"4",0,0,0
"5",0,NA,NA
"6",0,NA,NA
"7",1,NA,NA
"8",1,NA,NA
"9",0,NA,NA
"10",0,NA,NA
"11",0,NA,NA
"12",1,NA,NA
"13",1,NA,NA
"14",1,NA,NA
"15",1,NA,NA
"16",0,NA,NA
"17",1,NA,NA
"18",0,NA,NA
"19",0,NA,NA
"20",0,NA,NA
"21",0,NA,NA
"22",1,NA,NA
"23",0,NA,NA
"24",0,NA,NA
"25",0,NA,NA
"26",1,NA,NA
"27",1,NA,NA
"28",0,NA,NA
"29",0,NA,NA
"30",0,NA,NA
"31",0,NA,NA
"32",0,NA,NA
"33",0,NA,NA
"34",1,NA,NA
"35",0,NA,NA
"36",0,0,0
"37",0,0,0
"38",1,1,1
"39",0,0,0
"40",0,0,0
"41",1,NA,NA
"42",0,1,1
"43",1,1,1
"44",0,0,0
"45",0,0,NA
"46",1,1,1
"47",0,1,0
"48",0,0,0
"49",0,1,1
"50",1,1,1
"51",0,0,0
"52",0,0,0
"53",1,1,1
"54",0,0,0
"55",0,0,0
"56",0,0,0
"57",1,1,1
"58",1,1,1
"59",1,1,1
"60",1,1,1
"61",0,NA,0
"62",0,0,0
"63",0,0,0
"64",0,1,0
"65",0,1,1
"66",0,0,0
"67",1,1,1
"68",0,0,0
"69",0,0,0
"70",1,1,1
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",1,NA,NA
"75",0,NA,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,1,1
"80",0,0,0
"81",1,NA,NA
"82",0,0,0
"83",1,NA,NA
"84",0,1,1
"85",0,0,0
"86",0,0,0
"87",1,0,0
"88",0,1,1
"89",1,1,1
"90",1,1,1
"91",0,0,0
"92",1,1,1
"93",0,0,0
"94",0,0,0
"95",0,1,1
"96",1,0,0
"97",0,0,1
"98",0,0,0
"99",0,0,0
"100",0,0,0
"101",0,0,0
"102",1,1,NA
"103",0,1,1
"104",0,0,0
"105",0,0,0
"106",0,1,1
"107",1,0,1
"108",0,0,0
"109",0,0,0
"110",1,NA,NA
"111",0,0,1
"112",0,1,1
"113",1,1,1
"114",1,1,1
"115",1,1,1
"116",0,NA,0
"117",0,NA,0
"118",0,NA,NA
"119",1,1,1
"120",1,NA,NA
"121",0,0,0
"122",0,0,0
"123",0,0,0
"124",0,0,NA
"125",0,0,0
"126",0,1,1
"127",0,0,0
"128",0,NA,0
"129",1,1,1
"130",1,1,1
"131",1,0,1
"132",0,0,0
"133",0,0,0
"134",1,1,1
"135",1,NA,1
"136",1,1,1
"137",1,NA,1
"138",1,1,NA
"139",1,NA,1
"140",1,NA,1
"141",1,1,1
"142",0,NA,1
"143",0,NA,NA
"144",1,NA,1
"145",1,NA,NA
"146",1,1,1
"147",1,NA,1
"148",1,1,1
"149",1,1,NA
"150",1,1,NA
"151",1,NA,NA
"152",1,1,1
"153",1,NA,1
"154",0,1,NA
"155",1,1,1
"156",1,1,1
"157",1,1,1
"158",1,1,1
"159",1,1,1
"160",1,1,1
"161",1,1,1
"162",1,1,1
"163",1,1,1
"164",1,1,1
"165",1,NA,NA
"166",1,1,1
"167",1,1,1
"168",1,NA,1
"169",0,0,1
"170",1,0,NA
"171",1,NA,NA
"172",1,1,1
"173",1,1,1
"174",1,1,1
"175",1,1,1
"176",1,1,1
"177",1,1,1
"178",1,0,NA
"179",1,1,1
"180",1,NA,NA
"181",1,1,1
"182",1,1,1
"183",1,1,NA
"184",1,1,1
"185",0,0,0
"186",1,1,1
"187",1,NA,NA
"188",0,0,0
"189",1,1,1
"190",1,1,1
"191",1,1,1
"192",1,1,NA
"193",1,NA,NA
"194",1,1,1
"195",1,1,NA
"196",1,NA,NA
"197",1,1,NA
"198",1,1,1
"199",1,NA,1
"200",1,1,1
"201",0,1,1
"202",1,1,1
"203",1,0,1
"204",0,1,1
"205",0,1,0
"206",1,1,1
"207",1,1,1
"208",1,NA,NA
"209",1,NA,NA
"210",1,NA,NA
"211",1,1,1
"212",1,1,0
"213",1,1,1
"214",1,1,1
"215",1,1,1
"216",0,1,1
"217",1,NA,NA
"218",0,1,1
"219",0,0,1
"220",0,NA,NA
"221",1,1,1
"222",0,NA,0
"223",0,0,0
"224",0,NA,NA
"225",0,1,0
"226",0,0,0
"227",1,1,1
"228",1,0,1
"229",0,NA,NA
"230",1,0,1
"231",0,1,0
"232",1,1,0
"233",0,0,0
"234",0,1,NA
"235",0,NA,NA
"236",0,0,0
"237",1,NA,NA
"238",1,1,1
"239",1,1,1
"240",1,1,1
"241",1,1,1
"242",1,1,1
"243",1,1,1
"244",1,1,1
"245",1,NA,NA
"246",1,1,1
"247",0,NA,NA
"248",1,0,NA
"249",1,1,1
"250",1,1,1
"251",1,NA,NA
"252",1,1,1
"253",1,1,1
"254",1,1,1
"255",1,NA,NA
"256",1,1,1
"257",0,NA,NA
"258",1,NA,NA
"259",1,1,1
"260",1,1,1
"261",1,1,NA
"262",1,1,1
"263",1,1,NA
"264",1,NA,NA
"265",1,1,1
"266",1,1,1
"267",0,0,0
"268",0,NA,NA
"269",0,0,0
"270",0,NA,NA
"271",1,1,1
"272",1,1,1
"273",0,NA,NA
"274",0,NA,NA
"275",0,0,0
"276",1,NA,NA
"277",1,NA,NA
"278",0,1,1
"279",0,NA,NA
"280",0,0,NA
"281",1,1,1
"282",0,NA,NA
"283",1,NA,NA
"284",1,NA,NA
"285",1,NA,NA
"286",1,1,1
"287",1,NA,NA
"288",1,NA,NA
"289",1,1,1
"290",1,1,1
"291",1,NA,NA
"292",0,0,0
"293",0,NA,NA
"294",1,NA,NA
"295",1,NA,NA
"296",1,1,1
"297",1,NA,NA
"298",1,NA,1
"299",1,NA,NA
"300",1,NA,NA
"301",1,NA,1
"302",1,1,1
"303",1,NA,NA
"304",1,1,NA
"305",1,1,NA
"306",1,NA,NA
"307",0,0,NA
"308",1,NA,0
"309",1,NA,NA
"310",1,1,1
"311",1,NA,NA
"312",0,NA,1
"313",1,1,NA
"314",1,1,1
"315",1,NA,NA
"316",1,1,NA
"317",1,NA,NA
"318",1,1,1
"319",1,NA,NA
"320",1,NA,NA
"321",0,1,1
"322",0,1,1
"323",1,1,1
"324",1,NA,NA
"325",1,1,1
"326",1,NA,NA
"327",1,NA,NA
"328",1,1,1
"329",0,NA,1
"330",0,NA,NA
"331",1,NA,NA
"332",0,NA,NA
"333",0,NA,NA
"334",0,NA,NA
"335",1,1,1
"336",1,NA,NA
"337",1,1,1
"338",1,NA,1
"339",0,NA,NA
"340",1,NA,NA
"341",1,1,1
"342",1,NA,NA
"343",1,NA,NA
