Family	Father	Mother	Gender	Height	Kids	X1	X2	X3	X4	X5	X6	outcome
1	78.5	67	M	73.2	4	15	13	15	45	13	27	13
1	78.5	67	F	69.2	4	8	13	17	3	4	0	1
1	78.5	67	F	69	4	21	19	20	49	17	23	48
1	78.5	67	F	69	4	14	16	16	50	23	38	38
2	75.5	66.5	M	73.5	4	13	20	19	47	18	42	39
2	75.5	66.5	M	72.5	4	6	11	14	20	8	27	3
2	75.5	66.5	F	65.5	4	13	16	18	19	11	28	9
2	75.5	66.5	F	65.5	4	15	19	20	40	17	43	12
3	75	64	M	71	2	18	20	19	39	19	41	38
3	75	64	F	68	2	16	15	17	25	3	1	2
4	75	64	M	70.5	5	8	15	19	41	22	28	0
4	75	64	M	68.5	5	18	17	19	4	7	0	3
4	75	64	F	67	5	15	19	19	44	21	0	14
4	75	64	F	64.5	5	10	20	18	4	4	5	9
4	75	64	F	63	5	15	15	18	32	11	6	12
5	75	58.5	M	72	6	11	16	17	50	13	37	22
5	75	58.5	M	69	6	14	17	19	41	20	9	0
5	75	58.5	M	68	6	14	18	20	60	11	32	7
5	75	58.5	F	66.5	6	14	19	19	38	16	41	14
5	75	58.5	F	62.5	6	13	12	17	10	5	0	15
5	75	58.5	F	62.5	6	14	16	18	61	22	48	26
6	74	68	F	69.5	1	10	13	16	4	2	0	11
7	74	68	M	76.5	6	15	14	18	34	7	22	13
7	74	68	M	74	6	18	17	19	46	19	36	1
7	74	68	M	73	6	13	18	19	47	7	23	49
7	74	68	M	73	6	16	20	20	24	10	6	6
7	74	68	F	70.5	6	14	14	18	39	11	3	2
7	74	68	F	64	6	12	15	19	29	3	2	5
8	74	66.5	F	70.5	3	13	18	19	27	5	27	7
8	74	66.5	F	68	3	19	20	17	26	6	20	12
8	74	66.5	F	66	3	10	14	19	10	9	24	10
9	74.5	66	F	66	1	15	17	19	20	9	19	23
10	74	65.5	F	65.5	1	15	15	19	58	22	8	6
11	74	62	M	74	8	10	14	19	3	4	0	0
11	74	62	M	70	8	17	19	19	48	12	17	19
11	74	62	F	68	8	6	5	11	15	0	31	7
11	74	62	F	67	8	16	18	18	7	10	6	0
11	74	62	F	67	8	19	20	20	74	13	46	41
11	74	62	F	66	8	15	19	19	51	21	49	33
11	74	62	F	63.5	8	11	18	19	14	8	8	20
11	74	62	F	63	8	6	11	16	29	14	22	4
12	74	61	F	65	1	14	17	18	8	3	2	11
14	73	67	M	68	2	15	15	17	49	13	34	19
14	73	67	M	67	2	14	16	17	14	6	4	10
15	73	66.5	M	71	3	13	19	19	17	5	25	25
15	73	66.5	M	70.5	3	14	16	18	26	12	20	18
15	73	66.5	F	66.7	3	13	11	12	1	1	3	1
16	73	65	M	72	9	15	15	19	33	13	42	10
16	73	65	M	70.5	9	18	19	20	43	16	32	33
16	73	65	M	70.2	9	14	20	19	42	13	3	3
16	73	65	M	70.2	9	14	20	19	6	3	5	5
16	73	65	M	69.2	9	12	18	18	24	4	7	6
